Property_ID,Listing_price,Data_Source,Locality,Property_Type,Built_up_area_sqfeet,Total_area_sqft,BHK,Age_of_Property,Facing_direction,Nearby_Schools,Nearby_Hospitals,Nearby_Markets,Crime_Rate_Area,Road_Connectivity,Future_Projects,Registry_Rate_per_sqft,Market_Rate_per_sqft,Last_Registry_Year,Owner_Type,Latitude,Longitude
PV0001,1772920,SYN,LIG Colony,Independent House,773,773,1,20+ years,South-East,No,Yes,No,High,Average,No,2168,2515,1992,Dealer,22.731309,75.852517
PV0002,3050075,SYN,Banganga,Independent House,1059,1059,2,5-10 years,North,Yes,Yes,No,High,Average,No,2115,2360,2015,Owner,22.715735,75.831967
PV0003,10204438,SYN,Scheme 54,Villa,2298,2298,3,5-10 years,North-East,No,Yes,Yes,Medium,Excellent,No,2831,3533,2015,Owner,22.72844,75.868282
PV0004,3243749,SYN,Pipliyahana,Apartment,927,927,2,0-5 years,West,Yes,Yes,Yes,High,Good,Yes,2503,3106,2021,Owner,22.698065,75.921833
PV0005,9321831,SYN,Scheme 54,Apartment,2191,2191,4,0-5 years,North,Yes,No,Yes,Medium,Average,No,2946,3772,2023,Owner,22.733188,75.872054
PV0006,3054880,SYN,Bicholi Mardana,Apartment,1099,1099,2,0-5 years,South,No,No,No,Medium,Good,Yes,2187,2563,2024,Owner,22.778357,75.933143
PV0007,8956505,SYN,Bhawarkuan,Independent House,2517,2517,4,0-5 years,East,Yes,No,Yes,Medium,Good,Yes,2487,3024,2021,Dealer,22.695436,75.837111
PV0008,4327701,SYN,MR 10,Apartment,1347,1347,3,5-10 years,North,Yes,Yes,No,Medium,Good,No,2604,2857,2017,Dealer,22.769579,75.901527
PV0009,2129749,SYN,Bicholi Hapsi,Independent House,831,831,1,0-5 years,South,Yes,No,No,Medium,Good,No,2087,2152,2021,Owner,22.786637,75.942253
PV0010,4804388,SYN,Niranjanpur,Apartment,1521,1521,3,5-10 years,West,No,Yes,No,Low,Average,Yes,2533,3088,2015,Owner,22.759873,75.915653
PV0011,12071195,SYN,Scheme 54,Apartment,2334,2334,4,0-5 years,East,No,Yes,Yes,Medium,Average,No,2932,4122,2023,Dealer,22.72981,75.867796
PV0012,5570654,SYN,Nipania,Builder Floor,1502,1502,3,5-10 years,North,No,No,Yes,High,Good,No,2664,3534,2016,Dealer,22.755373,75.922924
PV0013,2188081,SYN,Bicholi Mardana,Apartment,949,949,2,0-5 years,South-West,No,No,No,Medium,Average,No,2239,2438,2024,Owner,22.782632,75.92788
PV0014,6899631,SYN,Scheme 54,Independent House,1248,1248,2,0-5 years,West,Yes,Yes,Yes,Medium,Good,No,2894,4183,2022,Owner,22.732742,75.872104
PV0015,4374430,SYN,Super Corridor,Independent House,1442,1442,2,5-10 years,West,Yes,No,Yes,High,Average,Yes,2451,2598,2016,Dealer,22.787341,75.898648
PV0016,2862356,SYN,Rajendra Nagar,Builder Floor,1022,1022,2,10-20 years,West,Yes,Yes,Yes,Low,Average,Yes,2544,3189,2014,Owner,22.707387,75.868512
