Property_ID,Listing price,Data Source,Locality,Property_Type,Built_up_area_sqfeet,Total_area_sqft,BHK,Age_of_Property,Facing_direction,Nearby_Schools,Nearby_Hospitals,Nearby_Markets,Crime_Rate_Area,Road_Connectivity,Future_Projects,Registry_Rate_per_sqft,Market_Rate_per_sqft,Last_Registry_Year,Owner_Type,Latitude,Longitude,Remarks
PV1,4688017,MB,Vigyan Nagar,Apartment,1757,1757,3,0-5 years,North,No,No,No,High,Good,No,2322,2673,2019,Owner,22.72912012,75.86399325,
PV2,3487885,MB,Vigyan Nagar,Apartment,1552,1552,3,5-10 years,East,Yes,No,No,Medium,Poor,Yes,2049,2307,2022,Dealer,22.72696959,75.8485855,
PV3,2180907,MB,Vigyan Nagar,Apartment,873,873,3,5-10 years,North,Yes,No,Yes,Medium,Average,No,2214,2537,2023,Dealer,22.71433974,75.85955448,
PV4,3805841,MB,Vigyan Nagar,Apartment,1484,1484,3,5-10 years,West,Yes,No,Yes,High,Poor,No,2399,2547,2017,Dealer,22.71964651,75.85884802,
PV5,2494936,MB,Vigyan Nagar,Apartment,945,945,3,5-10 years,North,Yes,No,Yes,Low,Good,No,2289,2613,2015,Dealer,22.72705729,75.8591039,
PV6,4279480,MB,Vigyan Nagar,Apartment,1110,1110,4,10-20 years,South,No,Yes,Yes,Low,Average,No,3446,3721,2018,Dealer,22.72630786,75.86616531,
PV7,3489101,MB,Vigyan Nagar,Apartment,944,944,2,0-5 years,North,No,Yes,No,Low,Poor,No,3299,3846,2016,Dealer,22.72807303,75.85410411,
PV8,7048058,MB,Vigyan Nagar,Apartment,1743,1743,2,0-5 years,West,No,Yes,Yes,Low,Average,No,3554,3994,2016,Owner,22.72939109,75.85045463,
PV9,5411962,MB,Vigyan Nagar,Apartment,1523,1523,3,0-5 years,South,Yes,No,Yes,Medium,Average,Yes,3063,3550,2021,Dealer,22.71969025,75.86089349,
PV10,5140104,MB,Vigyan Nagar,Apartment,1261,1261,3,5-10 years,South,No,No,No,Low,Good,No,3499,4252,2023,Owner,22.72683533,75.858685,
PV11,6975721,MB,Vigyan Nagar,Apartment,1999,1999,2,0-5 years,South,No,Yes,Yes,Low,Poor,No,3230,3376,2016,Dealer,22.71287374,75.86209145,
PV12,2338318,MB,Vigyan Nagar,Apartment,860,860,4,0-5 years,South,Yes,No,Yes,Medium,Good,Yes,2499,2808,2017,Dealer,22.72215247,75.86047131,
PV13,2930179,MB,Vigyan Nagar,Apartment,1223,1223,3,5-10 years,West,Yes,Yes,Yes,Low,Poor,No,2096,2491,2023,Dealer,22.72724173,75.85060902,
PV14,7336214,MB,Vigyan Nagar,Apartment,1759,1759,2,0-5 years,North,Yes,No,No,Low,Poor,Yes,3691,4036,2024,Owner,22.71726548,75.85575544,
PV15,3924019,MB,Vigyan Nagar,Apartment,1615,1615,3,10-20 years,East,Yes,No,No,Medium,Average,Yes,2108,2516,2020,Dealer,22.72190207,75.85975975,
PV16,3746297,MB,Vigyan Nagar,Apartment,1506,1506,2,5-10 years,South,Yes,No,No,High,Average,No,2198,2432,2021,Owner,22.71044831,75.8539823,
PV17,4046160,MB,Vigyan Nagar,Apartment,1699,1699,4,0-5 years,South,Yes,No,Yes,Medium,Good,No,2117,2383,2022,Owner,22.72390812,75.85821541,
PV18,3492913,MB,Vigyan Nagar,Apartment,1388,1388,4,0-5 years,South,Yes,Yes,No,Medium,Poor,Yes,2378,2424,2018,Owner,22.71814872,75.85250025,
PV19,5303567,MB,Vigyan Nagar,Apartment,1321,1321,2,10-20 years,West,Yes,No,No,Medium,Average,No,3685,4029,2021,Dealer,22.72325684,75.85276315,
PV20,8146680,MB,Vigyan Nagar,Apartment,1957,1957,3,5-10 years,North,No,Yes,Yes,Low,Good,No,3557,4068,2017,Dealer,22.71438532,75.84773021,
PV21,3020919,MB,Vigyan Nagar,Apartment,1315,1315,4,5-10 years,North,Yes,Yes,Yes,High,Poor,No,1983,2405,2021,Owner,22.72958399,75.86488958,
PV22,4817848,MB,Vigyan Nagar,Apartment,1247,1247,3,0-5 years,West,Yes,Yes,Yes,Medium,Average,No,3579,3780,2015,Dealer,22.71541181,75.85731397,
PV23,2474574,MB,Vigyan Nagar,Apartment,926,926,4,0-5 years,North,Yes,No,Yes,Low,Average,Yes,2363,2635,2019,Dealer,22.72090997,75.85034491,
PV24,4794117,MB,Vigyan Nagar,Apartment,1896,1896,2,10-20 years,South,Yes,Yes,Yes,High,Good,Yes,2328,2427,2020,Dealer,22.72636678,75.85685012,
PV25,4345008,MB,Vigyan Nagar,Apartment,1659,1659,3,10-20 years,North,Yes,No,Yes,High,Good,Yes,2384,2684,2019,Dealer,22.71297478,75.85636687,
PV26,4527867,MB,Vigyan Nagar,Apartment,1159,1159,3,10-20 years,East,No,Yes,Yes,Medium,Good,No,3338,4007,2020,Dealer,22.72263598,75.86583221,
